# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
pgxl1;60;1440519747;-968.87;0.00;89.90
pgxl1;60;1440519807;66.70;0.00;1.83
pgxl1;60;1440519867;-79.83;0.00;4.63
pgxl1;60;1440519927;-144.83;0.00;43.98
pgxl1;60;1440519987;128.67;0.00;17.40
pgxl1;60;1440520047;4.83;0.00;0.15
pgxl1;60;1440520107;-190.52;0.00;26.28
pgxl1;60;1440520167;-14.48;0.00;17.18
pgxl1;60;1440520227;109.03;0.00;4.02
pgxl1;60;1440520287;-107.85;0.00;7.05
pgxl1;60;1440520347;-24.07;0.00;14.88
pgxl1;60;1440520407;111.60;0.00;2.73
pgxl1;60;1440520467;-129.23;0.00;13.52
pgxl1;60;1440520527;-39.62;0.00;-33.98
pgxl1;60;1440520587;-0.23;0.00;13.51
pgxl1;60;1440520647;3211.07;0.00;-2035.33
